Comparison,Cosine Similarity (mean),Cosine Similarity (std),Euclidean Distance (mean),Euclidean Distance (std),Pearson Correlation (mean),Pearson Correlation (std)
Original vs. Original,1.0,0.0,0.0,0.0,1.0,0.0
Original vs. Brightness 0.5x,0.76,0.07,9.81,3.66,0.41,0.22
Original vs. Brightness 1.5x,0.69,0.15,11.26,4.26,0.31,0.27
Original vs. Gaussian Noise σ = 0.01,0.8,0.01,8.64,3.33,0.49,0.15
Original vs. Gaussian Noise σ = 0.05,0.77,0.05,9.28,3.37,0.44,0.19
Original vs. Gaussian Noise σ = 0.1,0.73,0.08,10.31,3.72,0.36,0.23
Original vs. Scale 0.8x,0.75,0.05,9.94,3.12,0.32,0.21
Original vs. Scale 1.2x,0.77,0.04,9.6,3.46,0.43,0.19
Original vs. Scale 1.5x,0.7,0.11,11.22,4.07,0.29,0.29
Original vs. Rotation 15°,0.76,0.05,9.64,3.41,0.4,0.22
Original vs. Rotation 30°,0.74,0.07,10.11,3.44,0.35,0.25
Original vs. Rotation 45°,0.74,0.08,10.24,3.44,0.35,0.24
Original vs. Rotation 90°,0.73,0.07,10.7,3.51,0.33,0.24
Original vs. Rotation 180°,0.71,0.1,10.95,3.7,0.3,0.26
Original vs. Rotation 360°,0.71,0.1,10.98,3.7,0.31,0.26
Original vs. Translation 10%,0.78,0.04,9.29,3.24,0.42,0.2
Original vs. Translation 20%,0.75,0.06,9.89,3.32,0.36,0.22
Original vs. Translation 30%,0.74,0.07,10.23,3.32,0.34,0.23
